course,semester,subject_code,subject_name,year,exam_type,question,marks
BCA(CA&IT),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,cos BTL42Explain String Handling/Manipulation tuncttons wttn,6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,12
BCA(CA&IT),1,UNK,Unknown,2023,Regular,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.",6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.2. This Question paper has two sections. Each section should be written ",6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,l Answer the following. (Any 5),6
BCA(CA&IT),1,UNK,Unknown,2023,Regular,GANPAT UNIVERSITY,4
BCA(CA&IT),1,UNK,Unknown,2023,Regular,6,12
BCA(CA&IT),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,Sectiou-l cot.tsist of 07 qucstions of 6 nrarl<s cach rvith optior.rs rcspectivcly. Scction-ll,6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,"This Question paper has two r;;,i;. Each section should be written in a separate",6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,"3TJn-r"":j;sist of 07 questions of 6 marks each with options respectiverv. section-Ir",6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,12
BCA(CA&IT),3,UNK,Unknown,2023,Regular,COIlloo rrr's,6
BCA(CA&IT),3,UNK,Unknown,2023,Regular,Desclibe the lole of Local L.rstitutions in Rehabilitation 0(rco5 B'I'L4,1
BCA(CA&IT),5,UNK,Unknown,2023,Regular,"' Figures to the right indicate furl marks, course outcomes and BL pattem Level.' ffiSi::lon paper has two sections. Bu""t ,"".tio, stroutJ u-e wriften ",6
BCA(CA&IT),5,UNK,Unknown,2023,Regular,"aa\_,\.\, rrusrluss 1-\lltuytICS toolS ztt.c cllccttvc in 2023./-_ ---.-.:2ry,.:.:ll ), ""I9!gT: 4il t.y Gil oo i i* ri li*, t, i *06CO4 Lll',I_-5206 C",6
B.Sc(IMS),2,U42A6FOS2,Unknown,2023,Regular,5. Answer the following Questions. (Any Tvo),4
B.Sc(IMS),2,U42A6FOS2,Unknown,2023,Regular,!,9
B.Sc(IMS),2,U42A6FOS2,Unknown,2023,Regular,Be precise and to the point in your answer,6
B.Sc(IMS),2,U42A6FOS2,Unknown,2023,Regular,Be precise and to the point in your answer,6
B.Sc(IMS),4,U44A5AWT2,Unknown,2023,Regular,Explain various level of RAID. Be precise and to the point in your answer,4
B.Sc(IMS),4,U44A5AWT2,Unknown,2023,Regular,Deseribe the header of IPv6.,8
B.Sc(IMS),4,U44A5AWT2,Unknown,2023,Regular,Figures to the right indicate full marks 2. Be precise and to the point in vour answer,4
B.Sc(IT),2,U22A1DM1,Unknown,2023,Regular,5. (AJ Answer the following: (ANY 1) Explain nested if statement with suitable example.,3
B.Sc(IT),2,U22A1DM1,Unknown,2023,Regular,Be precise and to the point in your answer,6
B.Sc(IT),2,U22A1DM1,Unknown,2023,Regular,GANPAT UNIVERSITY,6
B.Sc(IT),2,U22B5CS2,Unknown,2023,Regular,(A),3
B.Sc(IT),2,U22B5CS2,Unknown,2023,Regular,of 11 Sunday.,2
B.Sc(IT),2,U22B5CS2,Unknown,2023,Regular,of 11 (has/are/have),6
B.Sc(IT),2,U22B5CS2,Unknown,2023,Regular,.,10
B.Sc(IT),4,U24A5MIS,Unknown,2023,Regular,5. Answer the following: (Any Twvo) III Explain all the Common Dialog Box in detail with examples.,10
B.Sc(IT),4,U24A5MIS,Unknown,2023,Regular,Be precise and to the point in your answer Answer the following: (Any Six),10
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,Section-l consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,"What is cookie? Describe syntax to create, read and delete",6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,.,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,This euestion paper has two sections. Each section should be written in a separate,1
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Sectior-r-Il,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.",6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,2 Answer the following (AnY Two)I,6
B.Sc(IT-CS),1,U61A1IP,Unknown,2023,Regular,COl BTL5,7
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,This Question paper has two sections. Each section should be written,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Explain pop-up box with proper example. 06cos BTL2,12
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Section-I consist of 07 questions of 6 mqrks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,"Figures to the right indicate fulImarks, Course Outcomes and BL pattem Level.2. This Question paper has two sections. Each section should be written i",6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,"Section I cd""nsists of 07 questions of 6 marks each with options respectively. SectionII consists of 03 questions, Question 2 of 12 Marks, Question 3 ",6
B.Sc(IT-CS),1,U61A1IP1,Unknown,2023,Regular,7,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,"' Section-I consist of 07 questions of 6 marks each with options respectively, Section-il",6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.",12
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,"Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.2. This Question paper has two sections. Each section should be written",6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should,6
