course,semester,subject,subject_code,question,marks
BSC-IT(IMS),1,Introduction to Data Analysis And Data Management,U41A2DADM,Explain Rules to declare Variable in detail Discuss the Data Type in C language What is Procedure oriented language? Explain the important of C language List out the mathematical function and explain any four in two in detail Explain getchar() and pu,6
BSC-IT(IMS),1,Introduction to Data Analysis And Data Management,U41A2DADM,"Write a short note on VPN Explain <FRAMESET> tag with suitable example Discuss LAN , MAN , WAN in detail Define table? Explain <TABLE> tag with suitable example Explain arithmetic operator in java script Explain the basic structure of HTML Discuss th",4
BSC-IT(IMS),1,Introduction to Data Analysis And Data Management,U41A2DADM,Explain <TABLE? tag with suitable example. g and <TEXTAREA?> tag in details. 2 Explain <INPUT> tai — END oF PAFER —— GANPAT UNNIVERSITY B.Sc,8
BSC-IT(IMS),1,Introduction to Data Analysis And Data Management,U41A2DADM,Define Mail Merge Write down its steps with all option. b Write a short note on Working with Documents with figure. [B] Write use of shortcut:[i] Ctrl+P [ii] Ctrl+G [iii] Ctrl+w (03) 3. [A] Answer the following: (ANY ONE) _ (06) a List out Math’s Fun,6
BSC-IT(IMS),2,Algorithm Development and Introduction to Programming –II,U42A1ADP2,Explain the 3 command of DDL with proper syntax. 3 Explain BCNF with example. 4 Discuss the basic structure of DBMS. 5 List out different types of joins Explain inner and self join with example. 6 — Explain serializability of transaction. 7 Explain h,30
BSC-IT(IMS),2,Algorithm Development and Introduction to Programming –II,U42A1ADP2,Explain 1st and 2nd normal form with Proper example. 3 Explain SQL with naming rules and convention Explain DML with its 3 commands with proper syntax Discuss the Revoke with Proper example Discuss the set command with example Explain index with its ,7
BSC-IT(IMS),2,Algorithm Development and Introduction to Programming –II,U42A1ADP2,"Explain with suitable example What is Computer Network? Explain the use of Computer Network. 2 Write a short- note on wireless network. 3 Describe OSI Model in brief. 4 Define the terms: HTTP and HTTPs, SSH 5 What is WWW? Explain in brief. 6. | Write",8
BSC-IT(IMS),2,Algorithm Development and Introduction to Programming –II,U42A1ADP2,"Discuss the lub Sivitch and Router in Network Terminology Explain the physical, Data-ink and Network Layer of OST mode Discuss the Asynchronous Iransfer Mode (ATM ) in Network Terminology Q-2 What is computer Network? Explain the need and advantage o",4
BSC-IT(IMS),2,Algorithm Development and Introduction to Programming –II,U42A1ADP2,"Explain any three types of . . . com) ample? Describe the types of scope in Group Policy? puter network with example’ 1 2. 3 Describe the services provided by Active Direct . : 4 Explain the feature of DHCP, Dain Services? 5 Explain in brief, 6 Write",15
BSC-IT(IMS),3,Internetwork Implementation & Maintenance,U43A1IIM,"Explain any one with example Describe: Port vs Socket C. — Explain OSI layer in brief 3 Define these terminologies: LAN, WAN, WLAN B Describe: Router vs Switch vs Hub C",6
BSC-IT(IMS),3,Internetwork Implementation & Maintenance,U43A1IIM,"Define these keywords: VPN, ACL C. — Explain NAT and its type Write a short note in DNS hierarchy in detail with proper example Explain the client server architecture in detail with proper example Explain DORA process in detail What is the difference",5
BSC-IT(IMS),3,Internetwork Implementation & Maintenance,U43A1IIM,How to change file permission? Explain with example. 3 What is DHCP? Explain DHCP configuration in brief Discuss features of Apache HTTP server. 4 Explain basic configuration of mail server. @ B What is the role of the NSS? How to identifying files i,5
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Explain with figure Whats difference between primitive and Non primitive Data Structures? eo C Write an algorithm for the operations on stack Define a linked list Write the advantage and disadvantage of lined list? Define a circular linked list? Writ,30
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Explain Customer Journey for any ecommerce website Explain in brief : Admin Store Panel List out types of products in magento and explain any 2 in details Explain Catalog Price Rules with suitable example Explain Free shipping and Flat rate shipping ,30
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Explain Declaration and Initialization of one dimensional array with example What is function? Explain categories of function Answer the following: (ANY ONE) ‘ What is structure? Write the syntax of structure and explain it with example Explain “arra,6
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Define Mail Merge Write down its steps with all option. b Define Watermark Write down its steps with all option. c List out types of charts Write down steps to Creating Charts. d Discuss the Menus of Open Office-Math with figure Write a short note on,8
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Write down its steps How to select the application package? Write down its steps. c Write a short note on Working with Documents with figure. [B] ___is the extensions file are saved in impress List out Date Time functions Explain any three function w,8
BSC(IT),1,Algorithm Development and Introduction to Programming -I,U21A1ADP1,Write a short note on Backup and Restore,6
