course,semester,subject_code,subject_name
BSC(IT),1,U21A1ADP1,Algorithm Development and Introduction to Programming -I
BSC(IT),1,U21A2DADM,Introduction to Data Analysis and Data Management
BSC(IT),1,U21B3MA,Multimedia and Animation
BSC(IT),1,U21B3WD1,Introduction to Web Development – I
BSC(IT),1,U21C4IDE,Introduction to Digital Electronics
BSC(IT),1,U21D5CS1,Communication Skill-I
BSC(IT),1,U21E6ITS,Information Technology And System Maintenance
BSC(IT),1,U21F7ENS,Environmental Studies
BSC(IT),2,U22A1ADP2,Algorithm Development and Introduction to Programming -II
BSC(IT),2,U22A2DM1,Database Management System-I
BSC(IT),2,U22B3WD2,Introduction to web development – II
BSC(IT),2,U22B3MP,Microprocessor Programming
BSC(IT),2,U22C4COA,Computer Organization and Architecture
BSC(IT),2,U22D5CS2,Communication Skill-II
BSC(IT),2,U22E6BCN,Basic of Computer Networks
BSC(IT),2,U22G7IVE,Indian Values and Ethics
BSC(IT),3,U23A1OOP,Object Oriented Programming Concepts
BSC(IT),3,U23A2DM2,Database Management System-II
BSC(IT),3,U23A3DT1,Application Development Tool-I
BSC(IT),3,U23C4FMI,Fundamental Mathematics for IT
BSC(IT),3,U23D5ES1,Employability Skills-I
BSC(IT),3,U23E6ACN,Advanced Computer Networks
BSC(IT),3,U23G7PMB,Principles of Management – Bhagavad Gita
BSC(IT),4,U24A1DT2,Application development Tool-II
BSC(IT),4,U24B2EDM,ENVIRONMENT DISASTER MANAGEMENT
BSC(IT),4,U24A3DT3,Application development Tool-III
BSC(IT),4,U24A4MA1,(Elective - I) Mobile Applications Development-1
BSC(IT),4,U24A4WP,(Elective - I) Web Programming with PHP
BSC(IT),4,U24A4SM,(Elective - I) Server Management
BSC(IT),4,U24A5MIS,Management Information System
BSC(IT),5,U25A1WPF,(Elective-II) Web Programming Framework
BSC(IT),5,U25A1NIN,(Elective - II) Internetwork Implementation
BSC(IT),5,U25A2IMA,(Elective - III) Advance Mobile Application Development
BSC(IT),5,U25A2CMS,(Elective - III) CMS Project
BSC(IT),5,U25A2NSE,(Elective - III) Network Security
BSC(IT),5,U25A2IML,(Elective – III ) Introduction to Machine Learning
BSC(IT),5,U25A3OPS,Operating System
BSC(IT),5,U25A4STQ,Software Testing & Quality Assurance
BSC(IT),5,U25A5SAD,System Analysis and Design
BSC(IT),6,U26A1PRJ,INDUSTRIAL PROJECT
BSC-IT(CS),1,U61A1IP1,INTRODUCTION TO PROGRAMMING-I
BSC-IT(CS),1,U61A2OS1,OPERATING SYSTEM SECURITY-I
BSC-IT(CS),1,U61B3WD1,WEB DESIGNING – I
BSC-IT(CS),1,U61B3DE,DIGITAL ELECTRONICS
BSC-IT(CS),1,U61C4FM,FUNDAMENTAL OF MATHEMATICS
BSC-IT(CS),1,U61D5CS,COMMUNICATION SKILLS
BSC-IT(CS),1,U61E6CMT,COMPUTER MAINTENANCE AND TROUBLESHOOTING
BSC-IT(CS),1,U61F7PMB,PRINCIPLES OF MANAGEMENT IN BHAGAVAD GITA
BSC-IT(CS),2,U62A1IP2,INTRODUCTION TO PROGRAMMING-II
BSC-IT(CS),2,U62A2OS2,OPERATING SYSTEM SECURITY-II
BSC-IT(CS),2,U62B3WD2,WEB DESIGNING-II
BSC-IT(CS),2,U62B3MP,MICROPROCESSOR PROGRAMMING
BSC-IT(CS),2,U62C4COA,COMPUTER ORGANIZATION AND ARCHITECTURE
BSC-IT(CS),2,U62D5EWS,EFFECTIVE WRITING SKILLS
BSC-IT(CS),2,U62E6IT,INFORMATION TECHNOLOGY
BSC-IT(CS),2,U62F7PE,PROFESSIONAL ETHICS
BSC-IT(CS),3,U63A1OOP,OBJECT ORIENTED CONCEPTS AND PROGRAMMING
BSC-IT(CS),3,U63A2OS1,SERVER OPERATING SYSTEM-I
BSC-IT(CS),3,U63A3DMS,DATABASE MANAGEMENT SYSTEM
BSC-IT(CS),3,U63C4CL,CYBER LAW
BSC-IT(CS),3,U63D5ES1,EMPLOYABILITY SKILLS-I
BSC-IT(CS),3,U63E6FIS,FUNDAMENTAL OF INFORMATION SECURITY
BSC-IT(CS),3,U63G7IKS,INDIAN KNOWLEDGE SYSTEMS IN COMPUTING
BSC-IT(CS),4,U64A1ADS,ADVANCE DATABASE MANAGEMENT SYSTEM
BSC-IT(CS),4,U64A2OS2,SERVER OPERATING SYSTEM-II
BSC-IT(CS),4,U64A3WAD,WEB APPLICATION DEVELOPMENT
BSC-IT(CS),4,U64B4CN,COMPUTER NETWORK
BSC-IT(CS),4,U64D5ES2,EMPLOYABILITY SKILLS-II
BSC-IT(CS),4,U64E6PIS,PRIVACY AND SECURITY IN SOCIAL MEDIA
BSC-IT(CS),4,U64F7EDM,ENVIRONMENT AND DISASTER MANAGEMENT
BSC-IT(CS),5,U65A1MAS,MOBILE APPLICATION AND SECURITY
BSC-IT(CS),5,U65A2WDT,WEB DEVELOPMENT TECHNOLOGY
BSC-IT(CS),5,U65A3GUI,GUI PROGRAMMING
BSC-IT(CS),5,U65A4DT,DIGITAL TECHNOLOGIES
BSC-IT(CS),5,U65A5IP1,INDUSTRIAL PROJECT-I
BSC-IT(CS),5,U65B6SE,SOFTWARE ENGINEERING
BSC-IT(CS),6,U66A1IP2,INDUSTRIAL PROJECT- II
BSC-IT(IMS),1,U41A2DADM,Introduction to Data Analysis And Data Management
BSC-IT(IMS),1,U41A1ADP1,Algorithm Development and Introduction to Programming –I
BSC-IT(IMS),1,U41B3IWD1,Introduction to Web Development – I
BSC-IT(IMS),1,U41B3MA,Multimedia and Animation
BSC-IT(IMS),1,U41C4SAM,System Administration and Maintenances
BSC-IT(IMS),1,U41D5CS 1,Communication Skills - I
BSC-IT(IMS),1,U41E6ITS,Information Technology And System Maintenance
BSC-IT(IMS),1,U41F7ES,Environmental Studies
BSC-IT(IMS),2,U42A1ADP2,Algorithm Development and Introduction to Programming –II
BSC-IT(IMS),2,U42A2FOS1,Fundamentals operating system - I
BSC-IT(IMS),2,U42B3WD2,Introduction to web development – II
BSC-IT(IMS),2,U42B3MP,Microprocessor Programming
BSC-IT(IMS),2,U42C4CHT,Computer Applications and Hardware Troubleshooting
BSC-IT(IMS),2,U42D5CS2,Communication Skill-II
BSC-IT(IMS),2,U42E6BCN,Basic of Computer Network
BSC-IT(IMS),2,U42G7IVE,Indian Values and Ethics
BSC-IT(IMS),3,U43A1IIM,Internetwork Implementation & Maintenance
BSC-IT(IMS),3,U43A2SNM1,Server Network Infrastructure Management -I
BSC-IT(IMS),3,U43B3FLS,Fundamentals of Linux and Shell Scripting
BSC-IT(IMS),3,U43C4IPP,Introduction to Python Programming
BSC-IT(IMS),3,U43D5ES1,Employability Skills-I
BSC-IT(IMS),3,U43E6IWT,Introduction to Wireless Technology
BSC-IT(IMS),3,U43G7PMB,Principles of Management -Bhagavad Gita
BSC-IT(IMS),4,U44A1FER,Fundamentals Enterprise Routing
BSC-IT(IMS),4,U44A2SNM2,Server Network Infrastructure Management - II
BSC-IT(IMS),4,U44B3IJP,Introduction to Java Programming
BSC-IT(IMS),4,U44C4IAI,Introduction to Artificial Intelligence
