filename,course,semester,exam_type,year,text_preview
B.Sc. (CA_IT) SEM-1- Nov-Dec 2023 (Regular).pdf,B.Sc. (CA&IT),1,Regular,2023,"Enrollment No.l?*
GANPAT UNIVERSITY
B.Sc.(CA&IT) Sem-I (CBCS)
RegularRemedial - Nov.-D ec, 2023
U1 lAlIPl : INTRODUCTION TO PROGRAMMING-I
Time: 3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12 Mar"
B.Sc. (CA_IT) SEM-3- Nov-Dec 2023 (Regular).pdf,B.Sc. (CA&IT),3,Regular,2023,"Eruollment No. :r
GANPAT UNIVERSITY
B.Sc. (CA & IT) SEM-III (CBCS)
Regular/Remedial - Nov.-D ec. 2023
U1 3A1DS : DATA STRUCTIIRE
Time: 3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate fullmarks, Course Outcomes and BL Pattem Level'
Z. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12 Marks, Questio"
B.Sc. (CA_IT) SEM-5- Nov-Dec 2023 (Regular).pdf,B.Sc. (CA&IT),5,Regular,2023,"LGAT,IPAT tlNI\/ E il,S ITY
I3. S c.( CA.tI'l')- S ll N4 -v liXA l\'l I N A' I' I 0 N ( tl I ] C S )
llcgLrlar/Rcmcdiai- Nor'. I )cc. 2Ofl3
1ll5z\l\V'l'l: \l/Ell'f lifllll\t)l.OC\' - I
Tintc: 3 llottts 'l'otal: (r0 N'lar'l<s
lrrstrrrcliotts:
1. Irigr-rlcs to 11rc righl indicirle [uLI nrrLl<s. ( otttsc ()ttltot-t.tcs nttJ l]l- f attcltt Lcycl.
2. Ihis QrLcstiorr llrltcr has trvo scctions. liach sccLior sirortlti bc rvrit[cn iit lt ltc:]ralrtc
rnsu'cr booli.
3. Sr--ction-l corrsist of 07 qucstions"
B.Sc. IMS SEM-2- May-Jun 2023 (Regular).pdf,B.Sc. IMS,2,Regular,2023,"Instructions: 
2 
3 
4 Q-1. Answer the following Questions. (Any Five) 
1. 
5 
6. 
7 
1 1 TIME: 3 Hrs.) 
2 
2. 2. 
1. B.Sc. IT(IMS) SEM-I| REGULAR EXAMINATION 
U42A6FOS2 -FUNDAMENTALS OF OPERATING SYSTEM-11 GANPAT UNNIVERSTTY 
1. 1. Figures to the right indicate full marks 
2. Be precise and to thc point in your answer April -June 2023 
State the types of scope in Group Policy? 
Q-2. Answer the following Questions. (Any One) What is IPv4? Explain the classes of IPv4. 
Explain event log in brief."
B.Sc. IMS SEM-4- May-Jun 2023.pdf,B.Sc. IMS,4,Regular,2023,"Time: 3 Hours] 
Instructions: 
1. 
2. 
3. 
4. 
5. a 
b 
C 
d 
b 
b. 
a. 
b 
a. 1. GANPAT UNIVERSITY 
U44A5AWT2 -ADVANCED WEB TECHNOLOGY-II 
April -June 2023 
2. B.Sc.IT(IMS) Semn-IV EXAMINATION 
Figures to the right indicate full marks 
Be precise and to the.point in your answer 
Answer the following: (Any Five) 
f. Explain Command Class with methods. Describe a Control trees. What is use of Panel Control? Explain properties of panel control. 
What is CLR? Explain in Detail. 
Explain CompareVali"
B.Sc. IT SEM-2-May-Jun 2023 (Regular).pdf,B.Sc. IT,2,Regular,2023,"4. 
5. 2 
3. Time: 3 Hours] 
Instructions: 
B] B] 
A] B] 
A] A| 
A] BÊ 
B] E] 
F] DÊ 
G| 
A] H| C] GANPAT UNIVERSITY 
B.Sc. (IT) SEM-1I EXAMINATION 
U22A1DM1: DATABASE MANAGEMENT SYSTEM-I 
April -June 2023 
I. Figures to the right indicate full marks 
2. Be prccise and to the point in your answer 
Answer the following (ANY SIX) 
Write a short note on Distributed Database. 
Discuss responsibilities of Database Administrator. 
Explain IDML Commands with example. Briefly discuss about Problems of c"
B.Sc. IT SEM-2-May-Jun 2023.pdf,B.Sc. IT,2,Regular,2023,"|Time: 3 Hours) 
Instruetions: 
1. B.SC. IT SEM-1| CBCS REGULAR EXAMINATION APR-JUNE 2022 
Answer: Figures to the right indicate tull marky 
Be precISe and to the ponl n or answe GANPAT UNIVERSITY 
Answer the following: (ANY SIX OUT OF EIGHT) Explain various types ofConcords with examples. 
A verb must agree with its subjcet in number. A Nngulan subject (one person or thing) takes a U22B5CS2: Communication Skil-1| 
Singular verb, A plral subject (more than one person or thing) lakes a plural ver"
B.Sc. IT SEM-4 May-Jun 2023 (Regular).pdf,B.Sc. IT,4,Regular,2023,"2. 
3. 
4. 
5. Time: 3 lHours 
Instruetions: 
1, 
B B 
A. A. E. 
A. 
C. 
C. A. 
C. 
G. 
B. 
C. B. 
F 
B A. 
C. H. GANPAT UNIVERSITY B.Sc. (T) SEM-IV EXAMINATION April -June 2023 U24A5MIS: MANAGEMENT INFORMATION SYSTEM 
Figures to the right indicate full markS 2. Be precise and to the point in your answer 
Answer the following: (ANY SIX OUT OF EIGHT) 
Explain Closed System with suitable example. What is MIS? State any three annlication areas of MI. 
Write a note on Transaction Processing System. "
B.Sc. IT (CS) SEM-1- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,1,Regular,2023,"-
{""r
7
Enrollment No.
GANPAT UNIVERSITY
B.So.IT(CS) - I (CBCS)
RegularRemedial - Nov.-D ec. 2023
U61A1IP 1 : INTRODUCTION TO PROGRAMMING-I
Time: 3 Hours
Instructions:
1. Figures to the right indicate fu1lmarks, Course Outcomes and BL
2. This Question paper has two sections. Each section should be 'Total: 60 Marks
Pattern Level.
written in a separate
aJ.answer book.
Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12 M"
B.Sc. IT (CS) SEM-1- Nov-Dec 2023 (Remidial).pdf,B.Sc. IT,1,Remedial,2023,"Enrollment No. I
GANPAT UNIVERSITY
B.Sc.IT(CS) SEMESTER-I EXAMINATION (CBCS)
Regular - Nov.-D ec. 2023
U61A1IP1: INTRODUCTION TO PROGRAMMING-I
Time: 3 Hours
Instructions:Total: 60 Marks
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12"
